País,Número departamento,Departamento,Provincia,Número municipio,Municipio,Circunscripción,Localidad,Recinto,Número Mesa,Código Mesa,Elección,Inscritos,CC,FPV,MTS,UCS,MAS - IPSP,21F,PDC,MNR,PAN-BOL,Votos Válidos,Blancos,Nulos,Estado acta
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22408,100320207290230607,Diputados Uninominales,223,72,0,10,1,66,10,0,2,4,165,37,2,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22409,100320207290230608,Presidente y Vicepresidente,221,87,0,4,0,90,2,11,1,4,199,1,3,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22409,100320207290230608,Diputados Uninominales,221,78,0,5,3,69,6,0,2,5,168,29,6,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22410,100320207290230609,Presidente y Vicepresidente,222,91,2,1,0,82,4,19,1,1,200,1,3,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22410,100320207290230609,Diputados Uninominales,222,82,0,2,1,71,11,0,2,1,170,32,2,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22411,100320207290230610,Presidente y Vicepresidente,221,82,0,6,0,94,2,17,1,1,203,0,4,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22411,100320207290230610,Diputados Uninominales,221,84,0,4,2,76,8,0,1,3,178,26,3,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22412,100320207290230611,Presidente y Vicepresidente,217,74,2,2,3,86,3,22,1,1,194,1,6,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22412,100320207290230611,Diputados Uninominales,217,68,0,4,2,68,8,0,3,6,159,38,4,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Ladislao Cabrera,22413,100320207290230612,Presidente y Vicepresidente,224,71,0,1,2,98,3,21,0,1,197,1,6,Computada
